ACCT_GUID,EFF_DT,CIFDB_ACCT_ID,ACCT_BAL_AMT,ACCT_STATUS_RSN_TXT,PAYMT_MIN_DUE_AMT,PAST_DUE_1_30_AMT,PAST_DUE_31_60_AMT,PAST_DUE_61_90_AMT,PAST_DUE_91_120_AMT,PAST_DUE_121_150_AMT,PAST_DUE_151_180_AMT,PAST_DUE_181_210_AMT,PAST_DUE_211_240_AMT,PAST_DUE_241_270_AMT,PAST_DUE_271_300_AMT,PAST_DUE_301_330_AMT,PAST_DUE_331_360_AMT,PAST_DUE_361_UP_AMT,CHARGEOFF_DT,CR_LMT_AMT,CR_LMT_AVLB_AMT,TOT_PAST_DUE_AMT,LAST_PAST_DUE_CYCL_AMT,PAST_DUE_CYCL_LTD_CNT,ACTL_DAYS_PAST_DUE_CNT,CNSCTV_DAYS_PAST_DUE_CNT,MOST_RCNT_PAST_DUE_DT,PAST_DUE_ACCT_STATUS_CD,COLL_ENRLM_STATUS_CD,PAST_DUE_CYCL_TXT,CLNT_PRDCT_CD
234357b1-338e-4956-82c1-94ca0bf97a61,2025-03-21,3099155,92786.67,Determine important kind little.,104.23,1312.43,1093.86,83.68,1882.93,1461.54,1758.26,871.33,582.77,371.86,225.44,1341.9,1643.59,424.02,2025-05-17,78691.23,66661.33,13053.61,1124.67,3,16,21,2025-05-30 12:35:51,Ml,CENRL144,Stop accept suddenly nice.,PRDCT37
104d9c41-1cb0-47be-9d7f-4aea771b5181,2025-04-28,7325043,92085.45,Key probably I energy.,1983.83,377.92,154.14,1808.27,1736.88,573.57,951.29,1440.93,213.68,244.01,1852.94,705.77,1229.22,890.06,,78930.66,48101.43,12178.68,236.18,8,26,28,2025-04-14 13:20:08,kX,CENRL911,Hair rather system theory.,PRDCT86
499d8e73-c965-4395-8d54-9052e892e50a,2025-03-12,5685306,75547.96,As affect hair strategy technology approach.,2984.47,649.73,165.54,1337.49,1918.45,359.59,252.29,950.33,1702.71,10.63,1577.67,172.61,64.58,292.82,,188022.41,63682.13,9454.44,298.13,2,3,14,2025-05-07 01:41:25,LA,CENRL655,Again feeling figure cover season attorney.,PRDCT88
2a758499-cb6a-416c-9fed-ac39243addaf,2025-05-05,6764510,69873.98,Throughout mean bring put your.,714.93,82.36,878.95,1624.04,412.7,478.28,1569.55,682.91,286.01,1350.56,583.37,1338.31,691.11,457.81,2025-01-06,114531.63,101895.56,10435.96,1248.38,3,4,17,2025-05-04 13:00:14,pL,CENRL107,Can population less year what.,PRDCT66
2a925d7e-cf14-4472-8f33-a752dee24dc4,2025-03-23,7754879,79469.75,Nearly occur church will behavior who long industry.,3935.69,1209.39,1534.84,1719.2,1706.27,526.53,841.74,1968.89,735.49,1252.18,1693.01,1753.62,1205.31,699.71,,10624.44,6900.12,16846.18,3794.26,10,9,2,2025-05-26 03:28:14,gC,CENRL050,Man nature away grow.,PRDCT51
b46e839f-47f4-4c7d-bb44-0c8e7930b1e4,2025-04-20,1805491,38473.72,Media religious bring line clearly probably area.,959.13,651.28,1720.21,1466.86,1913.12,1068.1,798.14,1356.76,383.36,1444.6,854.74,961.73,1306.97,1105.65,,83584.98,61822.44,15031.52,155.59,10,21,5,2025-04-22 01:08:54,Bl,CENRL492,Design police yourself surface believe.,PRDCT69
ac2b2ae3-389c-44b8-a158-35f65771cc1b,2025-03-04,2076959,78229.88,Three interest action expect.,1859.32,201.63,1999.83,1209.39,540.9,1785.53,147.18,113.56,509.7,260.18,821.5,1242.16,1038.84,1107.43,,111637.59,2772.95,10977.83,1648.95,12,25,20,2025-05-12 15:54:29,ac,CENRL180,Spend usually truth section.,PRDCT79
c4d22d24-4af4-4bd8-8814-79d5bffae7ed,2025-05-19,1539515,86777.86,Ability shoulder during site listen where price follow.,4915.42,616.82,1913.49,10.7,1677.61,1238.64,1864.59,881.89,776.51,1856.69,1789.8,1885.95,360.59,1808.81,,88918.3,67579.47,16682.09,21.36,6,4,25,2025-05-06 21:54:26,uZ,CENRL614,Kind east trial between.,PRDCT74
21108066-a72d-43eb-823d-2ce4e7a11e3d,2025-04-05,1432634,84870.23,Hold write simply base day actually team.,914.53,533.36,336.3,1767.88,1656.14,129.84,47.65,1582.47,787.38,1136.85,1276.22,1087.19,375.99,620.66,,159014.4,105232.85,11337.93,113.3,2,9,9,2025-04-10 17:44:21,eB,CENRL248,Arrive modern exactly really.,PRDCT06
b011589c-ca36-4681-b5d9-363e52878f5d,2025-04-20,8149463,88142.09,Hope why practice chair floor top figure.,1039.82,423.93,89.93,131.32,1598.32,1942.78,340.31,94.69,444.75,1658.58,897.95,1930.18,801.44,1436.68,,145116.8,8863.1,11790.86,373.03,3,2,14,2025-05-08 01:16:02,RQ,CENRL356,Sound be loss material.,PRDCT84
5f5bcc71-0620-4d4b-8c27-4412f36c4aad,2025-05-04,8207068,5230.44,Story arm piece successful.,2697.92,622.92,62.47,1350.41,312.37,1287.65,197.22,1427.85,1674.9,1594.34,1765.9,1230.53,667.52,364.88,,195109.56,66712.59,12558.96,519.66,0,6,4,2025-04-13 03:37:17,xY,CENRL925,Impact score feeling.,PRDCT14
53639ce1-6c0a-4d54-b420-8c92ca996394,2025-03-31,6972951,65994.89,Turn after special turn hour cultural.,3237.63,1564.11,1322.65,603.93,1020.21,1411.58,567.34,1689.18,1067.02,1690.33,1853.09,183.25,1709.73,4.75,,144756.54,69520.13,14687.17,2984.08,10,19,3,2025-04-16 01:09:27,JK,CENRL758,Vote employee seek front.,PRDCT82
4f3c92d9-6509-4bdd-b10c-00ecd21955e3,2025-05-12,1891329,45950.58,Study build quality involve gun near.,3293.47,1253.84,1655.36,958.8,743.33,1616.0,930.8,1295.78,568.43,1077.01,1125.35,1173.0,1572.19,677.25,,81229.86,33635.04,14647.14,2454.15,5,24,13,2025-04-05 22:18:29,PY,CENRL660,Have stand successful.,PRDCT38
1d2a191b-9797-4792-8d73-ce6e39ceea18,2025-03-24,6700682,66666.51,Last receive pull ahead support those around.,4526.18,1953.8,1236.09,463.06,767.39,271.59,1359.26,198.87,1872.96,1866.28,1511.91,1759.2,1591.41,995.06,,124897.06,19462.21,15846.88,3927.11,12,20,8,2025-04-24 23:13:29,BE,CENRL098,Ask morning discussion.,PRDCT04
5dad0902-a9c7-4306-bce2-f9982d22c622,2025-04-04,2273941,34446.42,Yes unit culture agreement member form.,2430.4,470.56,1457.59,1681.26,1381.71,1422.35,287.42,1866.59,280.61,1614.47,334.48,1371.78,1488.7,357.66,,57314.7,2704.48,14015.18,913.24,7,16,21,2025-05-28 03:14:02,wN,CENRL778,Cover four report.,PRDCT51
35522c24-0570-468c-9944-56bf86beb025,2025-05-28,2964738,1518.86,Option state up against.,821.04,700.36,1353.4,1276.92,449.61,853.75,1697.31,944.76,637.16,1275.74,1729.58,1394.43,1960.6,886.82,2025-03-05,17221.11,485.3,15160.44,1825.69,12,7,22,2025-05-09 19:31:22,FY,CENRL847,Appear lawyer fact.,PRDCT90
334e53e5-7072-4134-bfce-884aed241ecc,2025-04-04,6529015,55276.33,Any interview morning lay fish high physical film.,3383.16,1124.16,1458.98,1644.35,1390.38,1331.15,65.32,253.34,897.57,1631.39,1672.93,857.13,1675.85,696.38,,33756.55,1536.5,14698.93,1782.3,4,21,2,2025-04-03 00:47:08,vz,CENRL578,Already mother really.,PRDCT15
13211e38-df11-4210-8275-320988827af0,2025-03-30,1555563,35253.31,Policy listen very.,3985.43,236.2,257.08,1034.19,1199.89,1030.82,799.38,999.11,1597.14,366.9,457.77,1395.96,1474.22,233.93,2025-05-11,106836.94,66712.64,11082.59,979.79,1,22,3,2025-04-16 22:58:07,bl,CENRL213,Challenge on letter design along.,PRDCT33
e5d2ff8f-c5af-4519-bbce-baa4541d5c12,2025-05-24,6815518,37450.69,Young such bill public.,990.61,1731.07,844.5,1290.61,1842.91,1858.19,873.54,894.75,80.75,103.1,1872.36,1893.38,785.16,1666.41,,79878.29,74837.37,15736.73,3028.45,1,0,14,2025-04-13 19:53:43,fO,CENRL050,Price service material somebody form.,PRDCT57
4c649534-d95b-4cf6-ac63-482dcbaa28ee,2025-05-07,5707211,39791.77,Whom brother modern know water purpose town.,1640.68,1650.46,1607.74,632.16,574.12,639.58,943.38,452.78,1508.2,68.92,941.82,311.44,660.35,1400.48,,171274.46,15310.31,11391.43,813.3,7,15,25,2025-04-16 13:19:56,da,CENRL418,Development back material those local property.,PRDCT88
3412581f-b28a-4065-a76a-f416e63dad51,2025-03-02,8697411,33751.08,Term bill writer including social choice director.,3150.89,926.48,1820.04,872.72,1827.01,158.65,787.31,931.98,197.09,1743.09,1688.64,765.54,1127.6,1060.78,,20898.73,6349.81,13906.93,3949.72,7,21,19,2025-04-22 07:51:41,nC,CENRL411,Executive fund person.,PRDCT10
6f5927f2-0a19-4ebf-89fc-15fb31753a5c,2025-03-02,2894008,27998.35,Design quite example last investment view agreement.,1213.56,581.14,1816.97,474.89,1395.05,1616.0,1955.35,1166.48,1095.43,736.5,1388.44,1874.61,1976.97,688.58,,36549.53,1207.41,16766.41,1521.55,2,5,14,2025-05-26 08:45:01,JM,CENRL858,Ago drop education newspaper adult else.,PRDCT67
10a3520d-f478-4a3b-80dc-50938e275eb1,2025-03-23,9065803,27554.45,Best benefit evidence case pay provide crime politics.,1198.43,1632.97,593.41,1176.16,98.37,1734.57,1858.92,1535.78,1222.23,51.5,316.92,666.08,1331.62,322.55,2025-03-07,56241.44,36701.5,12541.08,417.85,7,13,5,2025-04-11 03:43:26,uS,CENRL797,Answer teach PM.,PRDCT95
a22920ce-c87c-4867-abb6-c5ed0c14b8fb,2025-04-26,8795778,10355.87,Arrive idea anyone compare.,2803.5,101.45,1314.14,1308.93,828.9,311.55,1343.8,341.65,1529.67,1163.8,1475.8,1914.17,1230.97,621.83,,124192.77,10627.66,13486.66,718.55,3,9,23,2025-05-12 16:33:45,Va,CENRL791,Middle state bank around drop travel.,PRDCT00
c84f30f9-1e51-48ca-a7b6-a73d44809153,2025-04-18,4179127,67530.44,Without water help center.,2233.14,292.51,1358.97,1404.72,1583.25,317.72,337.33,997.23,1489.71,188.89,1256.3,1401.58,997.7,1532.32,,86980.82,38922.76,13158.23,4003.48,12,19,13,2025-05-07 14:08:11,Ge,CENRL704,Various political drive happy.,PRDCT81
3e5f1cc2-9991-4fb9-95f5-ceac8e90c46a,2025-05-20,6679611,92040.67,Small ten plan main.,4975.91,155.99,536.5,1123.33,532.03,1930.73,1234.66,1963.68,17.7,1423.52,181.05,1025.87,1954.24,142.01,,105903.73,59722.97,12221.31,1550.63,12,14,20,2025-05-30 13:08:43,GT,CENRL489,Leave series this cultural move.,PRDCT63
315bcf80-1e4b-46b0-95ef-d5b15267c54a,2025-05-30,6620161,3415.59,Box thousand window.,1362.08,254.5,1624.68,1464.06,1701.4,232.71,990.12,1981.77,745.49,248.84,1949.05,1920.0,1404.35,534.8,,29664.42,10562.83,15051.77,1733.77,7,14,12,2025-04-06 11:53:55,Kg,CENRL117,Political PM the.,PRDCT93
8e8a22a9-9b1a-48d8-978c-e35baba5250b,2025-04-17,5362157,15907.53,Rich name billion statement help stand tax.,1239.35,1297.28,664.68,1442.25,1511.62,1632.01,1350.51,487.7,1611.72,743.8,321.97,1986.7,732.47,1760.06,,111569.87,63280.18,15542.77,3261.53,11,29,7,2025-05-19 17:27:51,RK,CENRL606,Low beautiful science thousand.,PRDCT41
35e7c9c8-3320-4e14-9dbf-439646845f53,2025-04-02,5731240,98391.93,Thought race right in ground our mother case.,1166.01,1195.61,309.53,1198.14,889.61,1426.52,640.64,1422.54,1305.18,673.55,1964.86,108.31,45.71,266.55,,103390.83,34147.51,11446.75,3266.65,2,7,16,2025-04-05 03:54:41,sn,CENRL076,Boy peace couple particular.,PRDCT43
18c71c1c-bf6b-4332-b6f3-56dbfa11c01d,2025-03-24,8510673,13404.37,Exactly able drug hospital under number middle.,3239.45,1566.46,1094.12,112.57,1126.57,519.29,1562.62,1321.16,1587.44,150.12,1481.16,876.32,1298.35,1786.56,,41908.31,24413.72,14482.74,4703.38,7,17,23,2025-04-03 08:53:07,ii,CENRL887,House near gas senior guess arm.,PRDCT47
5b0d0b8f-b4b9-486d-b4fc-12240fa493f7,2025-05-13,7065456,48652.7,Product side skill himself project radio we.,249.38,478.34,928.61,856.04,205.87,988.65,1819.02,1242.35,1243.65,1570.45,1953.6,262.53,386.05,39.75,,23756.51,10978.8,11974.91,2401.41,10,15,9,2025-05-05 11:49:55,hQ,CENRL623,Deep toward lot four still open.,PRDCT67
1ddcfbd8-d9f1-44fe-b707-cd96837b38c5,2025-04-10,4120744,64174.27,Sometimes just outside task.,998.99,1601.28,1611.61,1297.73,1032.76,427.06,384.94,1327.37,1033.46,387.92,1728.72,559.28,940.91,273.93,,70942.08,53400.68,12606.97,384.95,5,20,7,2025-05-01 15:18:20,vg,CENRL178,Thing attorney change.,PRDCT02
1e5e9f65-ecc2-45c2-84a5-8eb2b248c30f,2025-03-22,1585593,95747.74,Final more get process cost.,576.46,876.05,112.35,1502.74,739.89,1515.73,1129.16,1296.25,781.47,1451.41,1498.7,1311.46,342.56,391.82,,173289.4,120758.37,12949.59,2059.72,7,18,20,2025-04-14 12:23:15,LH,CENRL949,Trial huge nearly fall.,PRDCT51
58957ae6-23af-4683-9269-08ac62bdc445,2025-04-25,8891461,31715.09,Event their tough candidate school.,2964.78,563.38,962.74,1402.78,1352.39,1821.7,971.13,1018.68,734.26,914.52,1048.46,1291.59,288.55,869.78,2025-03-01,78517.09,25102.12,13239.96,3220.33,3,10,0,2025-04-05 00:25:47,SK,CENRL879,Decision fine plan.,PRDCT56
fdb1c6a7-dd0f-4723-a8ff-6a358b22ad54,2025-05-22,7756945,21742.05,Far serve table simply positive usually.,1179.99,1745.06,253.94,495.05,273.6,1164.54,764.97,1497.34,1842.54,127.69,1941.09,1185.12,1411.91,1797.18,,136945.61,103137.71,14500.03,4314.27,5,10,6,2025-05-03 18:22:46,IM,CENRL601,Main building catch return product.,PRDCT12
2ee77b33-83c8-4738-b570-039ec9680b2b,2025-05-13,2528282,67533.56,Daughter time voice fine when.,2016.68,1925.8,129.02,1950.21,1297.1,760.54,1905.29,362.25,1152.19,349.49,450.91,1070.37,1167.94,1362.69,,93111.71,61299.05,13883.8,2290.46,12,22,3,2025-05-31 07:14:25,mp,CENRL528,Reach guess identify those.,PRDCT62
d5f58e89-1081-4ed8-acaf-a1e5f92feb49,2025-05-25,9027577,2825.77,Approach less decade look nearly employee.,141.23,1868.74,114.04,125.37,1431.62,190.82,671.62,380.78,511.02,379.46,492.6,46.03,140.02,434.73,,36200.65,30235.57,6786.85,4768.0,11,15,18,2025-04-02 04:08:07,BK,CENRL023,Significant those follow add agency.,PRDCT97
7f9d27ec-949e-4ec2-b6ef-5b4dda1c882e,2025-05-07,7717464,98644.54,Stay collection a world responsibility offer along.,3129.1,229.93,217.84,127.12,1484.88,1694.7,1322.11,144.54,1830.55,1168.82,461.96,1111.54,498.16,490.5,2025-05-18,194386.37,45296.76,10782.65,1532.15,3,7,0,2025-05-28 20:05:53,sT,CENRL730,Attorney always clearly food.,PRDCT41
82237269-a6e1-4456-a86c-d23a4e752fc6,2025-04-06,4700961,68455.27,View likely leave guess cause represent side.,1894.66,725.64,1757.14,478.12,1833.92,28.22,126.92,1476.82,559.27,1544.2,1383.44,1303.04,1032.87,490.47,,183712.83,25682.27,12740.07,1046.73,6,15,1,2025-05-08 00:30:45,rs,CENRL943,Seat young road director out situation.,PRDCT71
f14eed6f-d330-4bc0-bd73-ffe3210ee54d,2025-05-30,8754862,8310.42,Economy concern environment suddenly break doctor many.,3852.73,1672.95,201.66,947.25,393.89,1678.14,1058.74,1470.08,1835.46,1450.11,407.33,693.95,1809.05,258.54,,177195.41,148161.85,13877.15,4352.84,10,22,9,2025-05-20 21:10:50,ZX,CENRL246,Year laugh laugh.,PRDCT28
3071c197-fc1f-4b6c-bd8e-f3a6da91e84b,2025-04-08,9432379,85647.38,Work issue small event physical media there.,361.7,1876.99,893.77,1730.63,548.97,1002.77,523.67,1331.45,1601.7,926.27,245.64,929.18,275.75,1980.64,,112049.35,45398.9,13867.43,1546.8,11,17,28,2025-05-23 15:49:57,tp,CENRL677,Single learn under offer improve.,PRDCT61
4d085bb0-048d-45c8-86f9-26b6b6d1eaca,2025-03-24,7681732,33197.7,Degree blue government yard your brother record market.,2515.2,1285.59,1873.12,1881.88,338.48,1555.69,1566.96,909.5,143.9,942.39,1731.39,891.0,469.27,778.55,,154036.58,71853.77,14367.72,4742.73,10,28,17,2025-05-17 19:58:53,uM,CENRL660,Whom home such agency tree.,PRDCT08
f908a25c-447b-4a8a-8806-14cb695639b1,2025-03-17,3214850,59553.92,The in under we foot whose.,3679.3,1450.91,215.07,1365.97,277.6,1772.11,277.53,1342.26,922.15,1914.12,1721.96,548.33,1603.65,170.28,,169333.26,11398.71,13581.94,1689.34,5,29,21,2025-04-26 04:26:20,Bj,CENRL039,Perform light heavy serve firm.,PRDCT99
cae61f8c-c260-4965-a55a-c63870957d6d,2025-05-05,5582150,44265.3,Main parent serious radio radio too change.,441.02,1830.24,1748.16,1499.53,1774.0,786.67,850.64,1637.19,69.78,1726.5,446.78,923.44,1082.89,914.01,,175733.65,146130.04,15289.83,4323.54,4,4,10,2025-05-04 17:36:10,Lv,CENRL235,Off wear information power.,PRDCT38
977b5447-7a09-418d-a907-cfc09be4c06d,2025-05-11,5428339,19264.99,Dream responsibility enjoy actually.,450.57,712.98,470.78,1902.07,1628.66,1504.51,15.58,1007.52,15.41,1432.37,876.12,342.08,592.37,598.83,,20619.58,2173.5,11099.28,4892.26,7,7,0,2025-05-20 20:04:51,XZ,CENRL045,Beyond cold physical.,PRDCT96
0bcd68d8-aecc-41f5-8a50-0c0366acb682,2025-03-13,8112095,85662.67,Seem develop I until cold security far.,1853.18,1684.25,284.83,1971.98,1786.19,1491.18,1660.67,1148.74,386.81,919.44,336.68,1625.86,295.53,290.53,,115180.49,52077.17,13882.69,2671.01,8,0,1,2025-04-23 19:51:44,tX,CENRL307,Firm we into street usually get.,PRDCT53
136abf6a-9cad-4087-8b44-c128eb2e147e,2025-05-21,6208748,88044.0,Only world member lawyer heavy some design.,1248.92,1892.6,1337.41,1894.03,1543.07,1053.32,717.37,1387.67,1745.49,187.98,1690.09,1955.99,1210.68,425.05,,124093.2,81514.38,17040.75,2519.88,0,17,5,2025-04-14 03:44:58,Hi,CENRL400,Finally alone person message all debate.,PRDCT69
7c9d46e4-91f8-40cb-ac09-3a3fee513768,2025-04-08,3224145,18159.62,Well recent write management cold very subject hard.,4522.1,1572.08,999.08,804.86,278.46,1219.84,1568.92,1790.7,919.8,565.57,283.73,224.21,451.46,1169.52,,177222.74,19527.48,11848.23,1855.5,11,0,6,2025-05-04 09:18:52,FB,CENRL545,Finally first state spend maintain.,PRDCT68
c933270b-4992-465a-969e-ed8e9a55971c,2025-04-27,4539170,30427.39,Save economic development war movement.,4783.35,1320.81,71.07,1701.93,1412.13,1810.96,1635.91,1889.01,955.78,443.6,1709.52,240.85,1103.32,753.15,,46141.54,44108.33,15048.04,2626.5,10,27,25,2025-05-03 21:11:54,Ky,CENRL920,Economy poor line major.,PRDCT80
c875b6c7-e8d7-4b20-8ea0-68f847f604cd,2025-03-11,3937909,77784.93,Meeting would mean oil.,4627.86,402.54,515.75,572.32,1317.81,1351.99,1169.1,10.22,1118.62,870.15,163.74,652.54,783.95,1942.11,,119187.46,77743.31,10870.84,1552.17,7,24,30,2025-05-02 15:16:58,lx,CENRL796,Large star investment fill marriage.,PRDCT39
d31044c6-0755-419a-bb23-9aff4e82264c,2025-04-11,5971272,49947.71,Take catch beat rich level.,805.03,1480.91,362.1,185.08,864.09,174.77,413.87,1467.81,1405.51,1668.93,1813.99,1982.53,1213.81,1854.09,,68907.8,43684.29,14887.49,3755.22,9,5,9,2025-04-19 22:28:03,PY,CENRL524,Whom year few Mrs recently.,PRDCT08
18adf35d-5ea6-42fa-9180-9bd76b55a19b,2025-04-17,7770471,54064.97,Skin understand along attack.,2628.08,1995.43,1098.23,602.48,568.31,59.51,128.17,119.74,1458.28,1886.37,1813.89,1082.13,86.8,1930.99,,106535.78,41415.76,12830.33,2592.14,2,9,8,2025-05-19 00:05:55,LP,CENRL159,Clearly simple class leave lead.,PRDCT10
717bd457-a29e-4624-98cb-ee51df7dcd31,2025-03-27,9873239,88495.67,Real throw certainly thousand part wind way.,2755.41,544.83,360.77,380.83,1585.43,1868.97,917.23,820.44,38.67,1843.97,830.92,998.83,1966.82,569.34,,47497.32,41112.59,12727.05,3148.79,11,11,11,2025-04-21 23:27:36,Zz,CENRL176,Company could particular.,PRDCT55
28c6abdf-b4ad-4a2a-982a-e7de3eb2062d,2025-04-03,7232502,33006.71,North which statement when film message.,2772.27,728.22,1196.76,1466.89,231.72,1346.0,1808.96,356.48,1954.13,508.78,1024.63,669.67,1333.51,1323.53,,144464.75,36114.08,13949.28,2806.45,9,7,27,2025-04-27 12:08:37,xM,CENRL749,Loss view along economy yes financial.,PRDCT42
ad2cd523-b8e4-41c1-9833-159681088c41,2025-03-11,3955374,91669.19,Account nearly dog institution rest deep.,3453.0,1527.69,695.6,1470.92,1397.15,1515.77,977.27,112.72,1232.17,202.55,758.08,280.28,1736.38,1914.4,,23043.95,16428.86,13820.98,621.02,7,11,4,2025-04-27 02:59:20,Uy,CENRL896,Career visit medical nothing top without.,PRDCT34
